Department,Job_Title,Hourly_Rate
City Light,"Elecl Engrng Spec,Asst I",31.49
Seattle Dept of Transportation,"Transp Plnr,Sr",50.27
Police Department,Pol Capt,82.54
Human Services,Social Svcs Aide,21.99
Police Department,Pol Lieut,67.34
Seattle Dept of Transportation,Maint Laborer,25.39
Police Department,Pol Ofcr-SWAT,47.33
Police Department,Pol Ofcr-Academy Instructor,49.94
Seattle Dept of Const and Insp,Mech Inspector(J),44.23
Police Department,Pol Ofcr-Canine,50.81
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr CI,30.49
Seattle Information Technology,Info Technol Prof C-BU,44.49
City Light,"Elecl Engr,Asst I",34.67
Police Department,Pol Ofcr- Student,35.56
Police Department,Pol Ofcr-Patrl,50.16
Seattle Public Utilities,"StratAdvsr2,Engrng&Plans Rev",57.2
Police Department,Pol Ofcr-Patrl,44.95
Seattle Public Utilities,Meter Reader,26.18
Seattle Public Utilities,Drainage&Wstwtr Lead Wkr CII,34.22
Seattle Public Utilities,"Constr&Maint Equip Op,Sr",34.75
City Light,"Manager2,Exempt",52.07
Human Services,Human Svcs Prgm Supv,39.4
Seattle Public Utilities,Wtr Pipe Wkr,32.76
Legislative-City Council,Legislative Asst *,25.0
Seattle Center,Usher *,15.68
Dept of Finance & Admn Svc,Auto Mechanic,34.93
Police Department,Pol Ofcr-Patrl,46.68
Parks Department,"Accountant,Prin",44.9
City Light,Cblspl CC-Asg C Coord,50.54
Police Department,Pol Ofcr,38.6
Legislative-City Council,StratAdvsr-Legislative,58.69
City Light,Elctn-Con,44.92
City Light,Cust Svc Rep,26.75
Parks Department,"Rec Cntr Coord,Asst",28.64
Mayor's Office,"StratAdvsr3,Exempt",61.36
Dept of Finance & Admn Svc,Animal Contrl Ofcr II,28.8
City Light,Equip Svcr *,25.63
Fire Department,Fireftr-Paramed Tech-90.46 Hrs,44.7
Police Department,Pol Ofcr-Hostage Neg-Patrl,49.94
Seattle Dept of Transportation,Traffic Sign&Marking CC I,36.23
Seattle Information Technology,"Info Technol Prof A,Exempt",55.72
City Light,"Warehouser,Sr-BU",28.77
Police Department,Pol Ofcr-Patrl,44.95
Seattle Dept of Transportation,Civil Engr Supv,57.05
Seattle Public Utilities,Util Act Rep I,29.65
Police Department,Admin Spec II-BU,26.45
Fire Department,Fire Battalion Chief-91.4 Hrs,60.98
Dept of Finance & Admn Svc,Plumber,37.08
Police Department,Pol Ofcr-Detective,49.51
Police Department,Pol Ofcr-Patrl,46.68
Fire Department,Fireftr-ParamedTechSr-90.46,48.47
Seattle Public Utilities,"Warehouser,Sr-BU",28.77
Fire Department,Fireftr-MU-90.46 Hrs,37.15
Police Department,Pol Ofcr,37.18
City Light,Elctn-Con,44.92
City Light,"MatSup,Elec-Asg OPVTCHBNSTR",34.96
Police Department,Pol Ofcr-Patrl,46.68
Seattle Information Technology,Info Technol Prof B-BU,54.54
City Light,Lnwkr,46.27
Police Department,Pol Sgt-Detective,57.94
Seattle Public Utilities,Drainage&Wstwtr Lead Wkr CII,34.22
City Light,"Manager2,Utils",50.28
Parks Department,"Real Property Agent,Sr",49.27
City Light,"MatSup,Elec-Asg Cs &/or Cdt",33.9
Police Department,Pol Ofcr-DWI-Am/Pm Enf,48.42
Police Department,Pol Ofcr-Patrl,48.86
Parks Department,Plng&Dev Spec II,40.93
Fire Department,Fireftr-HM-90.46 Hrs,42.18
Dept of Finance & Admn Svc,"Manager2,P&FM",55.88
Parks Department,Tennis Instructor *,21.49
Fire Department,Fireftr-90.46 Hrs,41.83
Fire Department,Fire Lieut-MU-90.46 Hrs,45.05
Seattle Center,HVAC Tech,35.86
Police Department,Pol Ofcr-Patrl,48.86
Human Services,Counslr,29.58
Fire Department,Fire Lieut-90.46 Hrs,45.77
Seattle Public Utilities,Meter Reader,26.18
Fire Department,Fire Capt-90.46 Hrs,52.68
Dept of Education & Early Lrng,"Plng&Dev Spec,Sr",43.38
Seattle Center,Elctn,40.72
Police Department,Pol Ofcr-Patrl,44.08
City Light,Lnwkr,46.27
Parks Department,Rec Cntr Coord,33.97
Parks Department,"Accountant,Sr",39.96
Fire Department,Fire Capt-90.46 Hrs,53.4
Dept of Finance & Admn Svc,Executive1,62.41
Seattle Dept of Const and Insp,Housing/Zoning Inspector,38.56
Fire Department,Fire Lieut-Dispatcher-84 Hrs,54.51
Seattle Center,Sound&Video Equip Tech,34.75
Seattle Center,"Opns CC,Sr-SC",37.26
Seattle Public Utilities,"StratAdvsr3,Utils",63.83
Dept of Finance & Admn Svc,Treasury Cashier,35.93
Parks Department,Rec Leader,17.52
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Parks Department,Rec Attendant,15.68
Seattle Center,Parking Attendant *,18.54
Seattle Dept of Transportation,Traffic Sign&Marking Lead Wkr,29.88
Dept of Finance & Admn Svc,"Manager1,Fin,Bud,&Actg",43.38
Dept of Finance & Admn Svc,Admin Staff Asst,34.48
Dept of Finance & Admn Svc,Info Technol Prof A *,54.33
Fire Department,Fire Capt-90.46 Hrs,52.68
Seattle Center,Usher *,15.68
Seattle Center,Stage Tech *,30.42
Parks Department,"Gardener,Sr",29.58
Parks Department,Seattle Conserv Corps Supv,27.73
Seattle Center,Usher *,15.68
Police Department,Pol Ofcr-Motorcycle,49.94
Parks Department,Lifeguard *,16.47
Seattle Center,Usher *,15.68
Seattle Center,Stage Tech *,30.42
Fire Department,Fireftr-90.46 Hrs,41.11
Police Department,Parking Enf Ofcr,29.89
Seattle Dept of Const and Insp,Admin Spec II-BU,26.45
Seattle Dept of Const and Insp,"Elecl Insp,Sr/EleclPlnExmExp",46.75
Police Department,Pol Ofcr-Patrl,44.95
City Light,"StratAdvsr1,Utils",45.7
Parks Department,Util Laborer,24.5
Police Department,Pol Sgt-Detective-Homicide,57.94
City Light,"Personnel Spec,Asst",26.89
Neighborhoods Department,Executive3,68.59
Legislative-City Council,Councilmember,59.08
Seattle Public Utilities,"Civil Engr,Sr",54.86
Seattle Information Technology,Info Technol Prof B-BU,55.71
City Light,Pwr Anlyst,45.36
City Light,Engrng Aide,29.21
Police Department,Pol Data Tech Supv,32.34
Seattle Dept of Transportation,"Cement Finisher,Sr",32.44
Parks Department,Rec Leader *,17.52
Fire Department,Fireftr-Dispatcher-84 Hrs,47.16
Parks Department,Maint Laborer,25.39
Dept of Finance & Admn Svc,Info Technol Prof B-BU,42.78
Seattle Dept of Const and Insp,Admin Staff Anlyst,39.4
City Light,Cblspl-Net Area,44.92
Parks Department,Rec Attendant,19.96
Parks Department,Rec Attendant *,15.68
Seattle Public Utilities,"Civil Engr,Sr",56.96
Parks Department,Rec Attendant *,15.68
Police Department,Pol Ofcr-Motorcycle,48.2
Dept of Finance & Admn Svc,Executive2,69.47
Office for Civil Rights,Civil Rights Anlyst,32.55
Police Department,Pol Sgt-Detective,52.95
Seattle Information Technology,Info Technol Prof B-BU,48.12
Seattle Public Utilities,"Economist,Prin",53.11
Fire Department,Fireftr-Paramed Tech-90.46 Hrs,46.49
City Light,Elctn-Con,44.92
Dept of Finance & Admn Svc,"StratAdvsr1,Fin,Bud,&Actg",44.51
Seattle Public Utilities,"StratAdvsr2,Utils",55.03
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr CI,30.49
Police Department,Pol Ofcr,37.18
Parks Department,Sfty&Hlth Spec,42.56
Seattle Public Utilities,"Civil Engr,Sr",56.96
City Light,"Capital Prjts Coord,Asst *",41.57
Police Department,Pol Ofcr-Motorcycle,48.2
Police Department,Pol Ofcr-Detective,48.64
Police Department,Admin Spec II-BU,26.45
Police Department,Pol Sgt-Patrl,58.69
Dept of Finance & Admn Svc,Auto Mechanic,34.93
Seattle Dept of Transportation,"StratAdvsr2,Engrng&Plans Rev",55.35
Police Department,Pol Ofcr-Patrl,48.86
Police Department,Pol Data Tech,27.2
Seattle Public Utilities,"Civil Engr,Sr",56.96
Parks Department,Laborer,22.95
Dept of Education & Early Lrng,"Prgm Intake Rep,Sr",32.55
Dept of Finance & Admn Svc,Executive4,93.15
Seattle Information Technology,Info Technol Prof A *,55.35
Seattle Public Utilities,Meter Reader,26.18
Mayor's Office,Mayoral Staff Asst 2,33.05
City Light,"Elecl PwrSystsEngr,Prin-Mrt",65.21
Police Department,Pol Ofcr-DWI-Am/Pm Enf,49.29
Fire Department,Fire Lieut-90.46 Hrs,45.77
Dept of Finance & Admn Svc,"StratAdvsr2,General Govt",53.37
Seattle Dept of Const and Insp,Bldg Plans Examiner,44.05
Seattle Public Utilities,"Meter Reader,Sr",30.69
Dept of Finance & Admn Svc,"Warehouser,Sr-BU",28.77
Dept of Finance & Admn Svc,"Manager1,Fin,Bud,&Actg",52.95
City Light,"Mgmt Systs Anlyst,Sr",45.11
Police Department,Pol Ofcr- Student,35.56
Seattle Dept of Transportation,Civil Engrng Spec Supv,51.14
Seattle Center,Facilities Lead Wkr,28.77
Parks Department,Maint Laborer,25.39
Seattle Dept of Transportation,Bridge Op,29.68
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Parks Department,Truck Drvr,29.94
Parks Department,Rec Attendant *,15.68
Seattle Public Utilities,"Mat Controller,Prin",36.58
Police Department,Pol Ofcr- Student,43.43
Human Services,Counslr,33.16
Seattle Center,Sound&Video Equip Tech,34.75
Dept of Finance & Admn Svc,"Auto Mechanic,Sr",36.71
Seattle Public Utilities,Gardener *,24.5
Fire Department,Fire Lieut-Prev Inspector I,57.24
Fire Department,Fireftr-90.46 Hrs,33.57
Seattle Public Utilities,Wtr Pipe CC-WDM II,42.1
Seattle Dept of Const and Insp,Housing/Zoning Inspector,35.68
Parks Department,Lifeguard *,16.47
Police Department,Pol Sgt-Patrl,53.36
Human Services,Trng&Ed Coord,33.83
Seattle Information Technology,Executive2,68.73
City Light,Meter Reader *,24.22
City Light,Cooperative Intern *,16.12
Fire Department,Fireftr-ParamedTechSr-90.46,45.24
City Light,"Elecl Engr,Assoc",40.88
City Light,Civil Engr Supv,61.41
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Police Department,Pol Comms Dispatcher I,27.41
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",48.84
Seattle Public Utilities,"Util Svc Inspector,Sr",40.55
Seattle Information Technology,Executive4,85.26
Fire Department,Fire Capt-90.46 Hrs,52.68
Police Department,Pol Ofcr-Detective,50.38
Dept of Finance & Admn Svc,Admin Spec III-BU,27.45
Legislative-City Council,Legislative Asst,31.91
City Light,Meter Elctn Working CC,50.54
Seattle Center,Sound Op *,33.5
Human Services,Admin Support Asst-BU,22.38
Fire Department,Fireftr-TRT Dive-90.46 Hrs,40.76
Dept of Finance & Admn Svc,Info Technol Prof B-BU *,43.99
Seattle Dept of Const and Insp,"Plng&Dev Spec,Sr",46.8
Police Department,Pol Ofcr-Patrl,44.95
City Light,Lnwkr,46.27
Police Department,Pol Ofcr- Student,35.56
Human Services,Counslr,29.58
City Light,"Cust Svc Rep,Sr",27.79
Police Department,Pol Ofcr-Detective,48.64
Seattle Center,Usher *,15.68
Seattle Center,Usher *,15.68
City Light,"Personnel Spec,Sr",33.83
Fire Department,Fireftr-90.46 Hrs,31.78
Human Services,Admin Spec II-BU *,23.63
City Light,"Real Property Agent,Sr",49.27
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Parks Department,"Events Svc Rep,Sr",39.4
City Light,Line C CC,52.06
Seattle Dept of Transportation,"Civil Engrng Spec,Assoc",38.67
Seattle Center,Laborer *,21.6
Police Department,Exec Asst,41.77
Parks Department,Lifeguard *,16.47
Police Department,Pol Ofcr-Detective,46.91
Seattle Center,Sound&Video Equip Tech *,33.5
Fire Department,Fireftr-Ap Drvr-90.46,43.62
Seattle Public Utilities,"Civil Engrng Spec,Asst III",33.98
Seattle Dept of Const and Insp,Strucl Plans Engr Supv,59.99
Fire Department,Personnel Spec,36.58
Seattle Information Technology,Info Technol Prof A *,62.53
City Light,Meter Reader *,23.29
Dept of Finance & Admn Svc,Licenses&Standards Inspector,34.91
Seattle Dept of Const and Insp,Admin Spec II-BU,26.45
Human Services,Prjt Fund&Agreemts Coord,37.94
City Light,Actg Tech II-BU *,24.5
Parks Department,Rec Leader *,17.52
Neighborhoods Department,"StratAdvsr1,Exempt",38.56
Seattle Dept of Transportation,"Accountant,Prin",44.9
City Light,Actg Tech II-BU,26.45
Seattle Center,HVAC Tech,37.27
Police Department,Pol Data Tech *,24.4
Fire Department,Fire Lieut-90.46 Hrs,46.49
Seattle Dept of Transportation,"Fin Anlyst,Sr",44.9
Human Services,"Grants&Contracts Spec,Sr",35.93
Seattle Center,Stage Tech *,30.42
Parks Department,"Gardener,Sr",29.58
Seattle Dept of Transportation,Res&Eval Aide,24.93
Seattle Dept of Const and Insp,Bldg Plans Examiner,42.35
Seattle Dept of Transportation,"StratAdvsr2,General Govt",53.35
Police Department,Pol Ofcr,38.6
Seattle Public Utilities,"Civil Engr,Asst I *",33.36
Police Department,Pol Ofcr-Detective,48.64
Parks Department,Rec Attendant *,15.68
Human Services,Actg Tech II-BU *,24.5
Human Services,Prgm Intake Rep,30.21
Dept of Finance & Admn Svc,"Mgmt Systs Anlyst,Sr",43.38
City Light,Lnwkr,46.27
Police Department,Admin Spec III-BU,27.45
Parks Department,Admin Spec I,24.5
Police Department,Identification Tech,34.46
Police Department,Pol Sgt-Detective,57.94
Fire Department,Fire Battalion Chief-91.4 Hrs,60.43
Parks Department,Gardener,26.45
Seattle Dept of Transportation,"Accountant,Sr",39.96
Fire Department,"Fire Chief,Dep-91.4 Hrs",68.68
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr CI,29.35
Police Department,Pol Ofcr-Detective,46.91
Seattle Dept of Transportation,Arboriculturist,35.93
Neighborhoods Department,Com Dev Spec,39.4
Parks Department,Landscape Architect,44.9
Seattle Center,Stage Tech *,30.42
City Light,Engrng Aide,29.21
Parks Department,Rec Leader *,17.52
Police Department,Pol Ofcr-Patrl,46.68
Seattle Center,Elctn,40.72
Dept of Finance & Admn Svc,Complaint Investigator,33.16
Parks Department,Util Laborer,24.5
City Light,StratAdvsr2 *,56.9
Seattle Public Utilities,Drainage&Wstwtr Lead Wkr CII,34.22
Fire Department,Fireftr-Ap Drvr-90.46,43.62
Dept of Education & Early Lrng,"Early Ed Spec,Sr",38.61
City Light,"Warehouser,Sr-BU",28.77
Parks Department,Laborer,22.95
City Light,Plng&Dev Spec II,37.94
Parks Department,Rec Prgm Spec,27.97
Parks Department,Parks Maint CC,39.13
Seattle Dept of Transportation,"Transp Plnr,Sr",50.27
Seattle Public Utilities,Wtr Pipe Wkr Sr-WDM II,36.53
Seattle Public Utilities,"Exec Asst,Sr",46.8
Police Department,Pol Ofcr-Motorcycle,48.2
Seattle Dept of Transportation,Installation Maint Wkr,27.73
Seattle Public Utilities,Wtr Pipe Wkr Sr-WDM II,36.53
Police Department,Pol Ofcr-Diver,50.81
Dept of Finance & Admn Svc,"Investments/Debt Dir,Asst",64.08
Parks Department,"StratAdvsr2,General Govt",48.45
Police Department,Pol Ofcr,37.18
Dept of Finance & Admn Svc,Risk Mgmt Anlyst,39.4
City Light,"Envrnmtl Anlyst,Sr",46.69
Seattle Public Utilities,Res&Eval Asst,31.93
Seattle Public Utilities,Wtr Pipe Wkr Sr-WDM II,36.53
Seattle Dept of Transportation,"Fin Anlyst,Sr",44.9
Seattle Center,Util Laborer,24.5
Seattle Center,Stage Tech *,30.42
Parks Department,"Architect,Sr",48.44
Dept of Finance & Admn Svc,Actg Tech II,26.45
Seattle Dept of Transportation,Truck Drvr,29.94
Seattle Dept of Transportation,Maint Laborer,25.39
City Light,Gardener,26.45
Parks Department,Laborer,22.95
Fire Department,Fireftr-90.46 Hrs,31.78
Dept of Finance & Admn Svc,Licenses&Standards Inspector,34.91
Parks Department,Installation Maint Wkr,27.73
Police Department,Admin Spec II-BU,26.45
Seattle Dept of HumanResources,"Personnel Anlyst,Sr",45.87
Parks Department,Lifeguard *,16.47
Police Department,Pol Ofcr-Patrl,46.68
Dept of Finance & Admn Svc,Delivery Wkr,23.18
Dept of Finance & Admn Svc,Auto Mechanic,33.58
Seattle Public Utilities,"StratAdvsr2,Utils",58.01
Seattle Dept of Transportation,"Transp Plnr,Assoc *",38.56
Seattle Center,Stage Tech *,30.42
City Light,Elecl Engrng Spec Supv,51.14
Dept of Finance & Admn Svc,"Accountant,Prin",38.56
Parks Department,Cashier,18.79
Seattle Dept of Transportation,Student Engr Intern *,20.35
Police Department,Pol Ofcr-Patrl,48.86
Seattle Public Utilities,Drainage&Wstwtr Lead Wkr CII,34.22
Dept of Finance & Admn Svc,"Sfty&Hlth Spec,Sr",45.87
Dept of Finance & Admn Svc,"StratAdvsr1,PC&RM",42.64
Parks Department,Maint Laborer,25.39
Parks Department,Rec Attendant *,15.68
Neighborhoods Department,"StratAdvsr2,Exempt",45.96
Legislative-City Council,StratAdvsr-Legislative,62.04
Fire Department,Fireftr-Ap Drvr-90.46,39.67
City Light,"Civil Engrng Spec,Sr",48.84
Police Department,Pol Ofcr-Patrl,46.68
Parks Department,Truck Drvr,29.94
Seattle Dept of Transportation,"Manager2,P&FM",51.29
Parks Department,Plng&Dev Spec II,39.4
Seattle Public Utilities,"Manager2,Utils",51.76
Police Department,Pol Sgt-Patrl,56.19
Seattle Dept of Transportation,"StratAdvsr2,Engrng&Plans Rev",53.0
Seattle Public Utilities,Laborer *,22.15
Seattle Public Utilities,"Mgmt Systs Anlyst,Sr",43.38
Seattle Dept of Const and Insp,"Bldg Inspector,Journey",40.93
Legislative-City Council,Legislative Asst,36.82
Legislative-City Council,Legislative Asst,26.91
Seattle Dept of Transportation,Bridge Op,29.68
Construction and Land Use,Student Engr Intern *,21.99
City Light,"Elecl Engr,Asst III",41.99
Seattle Dept of Const and Insp,Land Use Plnr I,37.19
Human Services,"StratAdvsr1,Human Svcs",46.57
Human Services,Counslr,29.58
Seattle Center,Parking Attendant *,18.54
Seattle Public Utilities,"Publc Relations Spec,Sr *",35.16
Police Department,Pol Recruit,28.21
Police Department,Pol Ofcr-Patrl,50.16
Police Department,Pol Ofcr,37.18
Seattle Public Utilities,Admin Spec II-BU,26.45
Parks Department,Maint Laborer,25.39
Parks Department,Lifeguard *,16.47
Seattle Dept of Transportation,"Mgmt Systs Anlyst,Sr",46.8
Police Department,Pol Ofcr-Patrl,49.29
City Light,Elecl Constr&Maint Supv-BU,59.75
Seattle Dept of Transportation,Bridge Op,29.68
City Light,"Elecl PwrSystsEngr,Prin-Mrt",65.21
Seattle Dept of Transportation,"StratAdvsr2,Engrng&Plans Rev",60.59
Planning and Community Develop,"StratAdvsr2,General Govt",52.8
Parks Department,Volunteer Prgms Coord,32.55
Parks Department,Rec Leader *,17.52
Human Services,"Grants&Contracts Spec,Sr",31.93
Police Department,Pol Ofcr-Patrl,44.95
Seattle Dept of Transportation,Admin Spec II-BU *,24.5
Seattle Public Utilities,"Mgmt Systs Anlyst,Sr",41.77
City Light,"Capital Prjts Coord,Sr",51.5
Seattle Dept of Transportation,"Civil Engr,Assoc",40.88
Dept of Finance & Admn Svc,"Warehouser,Sr-BU",28.77
Dept of Finance & Admn Svc,"Info Technol Prof A,Exempt",50.07
City Budget Office,Muni Government Intern *,19.76
Legislative-City Council,StratAdvsr-Legislative,56.72
Police Department,Pol Ofcr,38.6
Police Department,Pol Ofcr,40.54
Legislative-City Council,Legislative Info Spec II,29.58
City Light,Meter Reader,26.18
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr *,27.68
Police Department,Pol Ofcr-Motorcycle,47.33
City Light,Elctn-Con-(OI),44.92
Fire Department,Fireftr-Paramed Tech-90.46 Hrs,47.21
Fire Department,Fire Lieut-90.46 Hrs,47.21
Parks Department,Maint Laborer,25.39
City Light,Executive3,88.56
City Light,"Manager3,Utils-BU",61.1
Dept of Finance & Admn Svc,Manager1 *,51.25
City Light,"Sfty&Hlth Spec,Sr",45.87
Seattle Center,Actg Tech II-BU,26.45
Seattle Center,Usher *,15.68
Parks Department,Maint Laborer,25.39
City Light,"Capital Prjts Coord,Asst",38.55
Police Department,Pol Sgt-Patrl,56.19
Seattle Public Utilities,Util Maint Spec-SPU,34.82
Parks Department,Actg Tech III-BU,29.09
Planning and Community Develop,"Publc Relations Spec,Sr",33.83
Police Department,Pol Lieut,71.16
Police Department,Pol Ofcr-Detective,48.64
Parks Department,Work Trng Enrollee *,15.0
Police Department,Pol Ofcr,43.43
Police Department,Pol Ofcr-Academy Instructor,47.33
Police Department,Pol Ofcr-Patrl,44.95
Seattle Center,"StratAdvsr3,Fin,Bud,&Actg",55.33
Seattle Dept of Transportation,"Cement Finisher,Sr",32.44
Parks Department,Cashier *,16.28
Seattle Dept of Transportation,Student Engr Intern *,20.35
Seattle Information Technology,"Info Technol Prof A,Exempt",63.45
Parks Department,Work Trng Enrollee *,15.0
City Light,Rights-Of-Way Maint Wkr,29.88
Police Department,Executive2,78.78
Parks Department,Rec Attendant *,15.68
Human Services,Mgmt Systs Anlyst Supv,45.87
Seattle Information Technology,Cooperative Intern *,16.12
Police Department,"Photographer,Sr",35.6
Dept of Finance & Admn Svc,StratAdvsr2 *,55.07
Police Department,Pol Ofcr,37.18
City Light,Cblspl-Net Area,44.92
Parks Department,Maint Laborer,25.39
Seattle Dept of Const and Insp,"Bldg Inspector,Sr(Expert)",44.23
Police Department,"StratAdvsr2,CL&PS",59.44
Fire Department,Fireftr-Ap Drvr-90.46,40.39
Seattle Public Utilities,Wtr Meter Changer,27.45
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Police Department,Executive2,68.02
Human Services,Counslr,33.16
Police Department,Pol Recruit,28.21
Police Department,Pol Lieut,71.16
Seattle Public Utilities,Drainage&Wstwtr Lead Wkr CII,34.22
City Light,Elecl Svc Rep,35.81
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Seattle Public Utilities,Capital Prjts Coord,46.7
Police Department,Pol Ofcr-Patrl,44.95
City Light,Util Laborer,24.5
Police Department,Pol Comms Dispatcher II,35.66
Police Department,Pol Ofcr-Patrl,48.86
Fire Department,Accountant,32.13
Seattle Public Utilities,Muni Government Intern *,19.76
Dept of Finance & Admn Svc,"Manager1,Fin,Bud,&Actg",39.45
Police Department,Executive4,99.55
Police Department,Pol Ofcr-Patrl,48.86
Parks Department,Laborer *,21.6
Parks Department,"Rec Cntr Coord,Asst",32.06
City Light,"Civil Engrng Spec,Assoc",43.32
Seattle Public Utilities,Wtr Pipe Wkr,32.76
Seattle Center,Stage Tech *,30.42
Seattle Public Utilities,Util Act Rep I,29.65
Police Department,Pol Ofcr- Student,37.18
Fire Department,Fire Lieut-90.46 Hrs,47.21
Human Services,Plng&Dev Spec II,40.93
Police Department,Pol Sgt-Patrl,57.69
Dept of Education & Early Lrng,Human Svcs Coord,29.09
Dept of Finance & Admn Svc,"Accountant,Sr",39.96
Human Services,"Fin Anlyst,Sr-HSD",39.96
Parks Department,Lifeguard *,16.47
Fire Department,Fireftr-ParamedTechSr-90.46,47.03
Seattle Dept of Transportation,Civil Engr Supv,61.41
Mayor's Office,Mayoral Staff Asst 1,22.79
Seattle Public Utilities,Drainage&Wstwtr Lead Wkr CII,32.97
Police Department,Parking Enf Ofcr,29.89
Police Department,Pol Ofcr-Patrl,51.03
City Light,"Elecl Svc Rep,Sr",38.79
Parks Department,Maint Laborer,25.39
Fire Department,Fireftr-90.46 Hrs,33.57
Dept of Finance & Admn Svc,Auto Mechanic,34.93
Fire Department,Fireftr-90.46 Hrs,40.39
Human Services,Publc Relations Spec,31.31
City Light,Enrgy Mgmt Anlyst Supv,55.69
Fire Department,Fireftr-90.46 Hrs,31.78
Seattle Public Utilities,Wtr Laboratory Tech *,23.34
Seattle Center,Stage Tech *,30.42
City Light,Generation Supv-BU,59.28
Police Department,Pol Ofcr-Patrl,49.29
Seattle Center,Usher *,15.68
Seattle Dept of Const and Insp,Land Use Plnr II,40.77
Parks Department,Tennis Instructor *,21.49
Parks Department,"Manager1,Parks&Rec",47.74
Seattle Public Utilities,"Capital Prjts Coord,Sr",53.43
Parks Department,"Aquatic Cntr Coord,Asst",32.06
Fire Department,Fireftr-90.46 Hrs,29.98
Dept of Finance & Admn Svc,"StratAdvsr1,Fin,Bud,&Actg",48.58
Seattle Dept of Const and Insp,"Bldg Inspector,Strucl",45.87
Parks Department,Mgmt Systs Anlyst,39.4
Seattle Information Technology,Info Technol Prof B-BU *,52.24
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Police Department,Pol Ofcr-Detective,50.38
Seattle Public Utilities,"Personnel Spec,Sr",37.94
Fire Department,Fireftr-FIU Prev Insp I-84 Hrs,48.12
Parks Department,Personnel Spec,32.55
Parks Department,Actg Tech II-BU,23.63
Fire Department,Fire Capt-Prev Inspector I,64.24
Planning and Community Develop,"Plng&Dev Spec,Sr",46.8
Planning and Community Develop,"StratAdvsr2,Engrng&Plans Rev",54.86
Parks Department,Gardener,26.81
City Light,Strucl Iron Wkr,44.92
Parks Department,Lifeguard *,16.47
Seattle Center,Usher *,15.68
Seattle Public Utilities,Meter Reader,26.18
Police Department,Pol Ofcr-Detective,47.77
City Light,"StratAdvsr2,Utils-BU",53.15
Office of Housing,Property Rehab Supv,41.39
Parks Department,Metal Fabricator CC,37.53
City Light,Elctn-Con,44.92
Seattle Information Technology,Info Technol Prof B-BU,53.63
Seattle Dept of Transportation,Truck Drvr,29.94
Parks Department,Cashier,16.78
Seattle Public Utilities,Drainage&Wstwtr Coll CC,38.22
Seattle Public Utilities,Util Act Rep Supv I,32.55
Seattle Information Technology,Info Technol Prof B-BU,44.92
Seattle Dept of Transportation,"StratAdvsr2,General Govt",51.79
Dept of Education & Early Lrng,Prgm Intake Rep,30.21
City Light,"Manager2,Fin,Bud,&Actg-BU",53.39
Planning and Community Develop,Plng&Dev Spec II,40.93
City Light,Lnwkr,46.27
Fire Department,Fireftr-90.46 Hrs,35.36
Seattle Center,Usher *,15.68
Legislative,Cooperative Intern-W/S *,16.12
City Budget Office,"StratAdvsr2,Exempt",47.82
Parks Department,"Lifeguard,Sr",21.57
Police Department,Pol Ofcr-Patrl,48.86
Seattle Public Utilities,"Mgmt Systs Anlyst,Sr",45.11
Seattle Dept of Const and Insp,Land Use Plnr II,44.05
Parks Department,Laborer,22.95
Seattle Dept of Transportation,Actg Tech II-BU,26.45
City Light,Cblspl-Net Area,44.92
City Light,Cblspl Aprn,35.49
Human Services,Counslr,33.16
Human Services,"Grants&Contracts Spec,Sr",35.93
City Light,Hydro Maint Wkr I-Gen,27.12
Seattle Information Technology,Info Technol Prof C-BU,49.05
Seattle Information Technology,"Info Technol Prof A,Exempt",65.12
Police Department,Pol Ofcr-Patrl,44.95
City Light,"Enrgy Mgmt Anlyst,Sr",51.65
City Light,"Elecl Svc Rep,Supvsng",43.37
Seattle Center,Laborer,22.95
Seattle Center,Stage Tech *,30.42
Police Department,Pol Sgt-Patrl,56.69
Police Department,Pol Ofcr-Patrl,44.95
Dept of Finance & Admn Svc,Elctn CC,45.09
Seattle Center,Stage Tech *,30.42
Seattle Dept of Transportation,"Personnel Spec,Asst *",24.93
City Light,"Warehouser,Sr-BU",28.77
Seattle Dept of Transportation,Parking Pay Stat Tech,32.58
Human Services,Counslr *,28.51
Seattle Public Utilities,Wtr Laboratory Tech,26.13
Police Department,Pol Ofcr-Patrl,44.95
Police Department,Pol Ofcr- Student,33.16
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr,29.92
Parks Department,Rec Attendant,16.57
Police Department,Pol Sgt-Patrl,58.69
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
City Light,Rights-Of-Way Maint Wkr,29.88
Parks Department,Maint Laborer,25.39
Seattle Center,Admin Spec III *,25.39
